date, temp (C), RH (%), epoch time (s)
2018-04-10_112947,22.80,26.02,1523377787.8305411
2018-04-10_112957,22.81,25.96,1523377797.8305552
2018-04-10_113007,22.83,26.01,1523377807.8305693
2018-04-10_113017,22.81,25.96,1523377817.830583
2018-04-10_113027,22.83,26.00,1523377827.8305972
2018-04-10_113037,22.81,26.00,1523377837.8306112
2018-04-10_113047,22.81,26.00,1523377847.830625
2018-04-10_113057,22.81,25.99,1523377857.8306391
2018-04-10_113107,22.83,25.98,1523377867.8306532
2018-04-10_113117,22.80,25.93,1523377877.830667
2018-04-10_113127,22.81,25.93,1523377887.830681
2018-04-10_113137,22.81,25.98,1523377897.8306952
2018-04-10_113147,22.81,25.92,1523377907.830709
2018-04-10_113157,22.83,25.90,1523377917.830723
2018-04-10_113207,22.83,25.89,1523377927.830737
2018-04-10_113217,22.83,25.90,1523377937.830751
2018-04-10_113227,22.83,25.92,1523377947.830765
2018-04-10_113237,22.81,25.93,1523377957.830779
2018-04-10_113247,22.81,25.85,1523377967.8307931
2018-04-10_113257,22.83,25.87,1523377977.830807
2018-04-10_113307,22.83,25.86,1523377987.830821
2018-04-10_113317,22.83,25.82,1523377997.830835
2018-04-10_113327,22.78,25.79,1523378007.830849
2018-04-10_113337,22.83,25.87,1523378017.830863
2018-04-10_113347,22.80,25.85,1523378027.830877
2018-04-10_113357,22.81,25.82,1523378037.830891
2018-04-10_113407,22.81,25.80,1523378047.8309052
2018-04-10_113417,22.81,25.80,1523378057.8309193
2018-04-10_113427,22.81,25.79,1523378067.830933
2018-04-10_113437,22.83,25.76,1523378077.8309472
2018-04-10_113447,22.83,25.79,1523378087.8309612
2018-04-10_113457,22.78,25.76,1523378097.830975
2018-04-10_113507,22.81,25.75,1523378107.8309891
2018-04-10_113517,22.80,25.76,1523378117.8310032
2018-04-10_113527,22.80,25.72,1523378127.8310173
2018-04-10_113537,22.80,25.73,1523378137.831031
2018-04-10_113547,22.80,25.73,1523378147.8310452
2018-04-10_113557,22.81,25.70,1523378157.8310592
2018-04-10_113607,22.80,25.72,1523378167.831073
2018-04-10_113617,22.83,25.70,1523378177.831087
2018-04-10_113627,22.80,25.72,1523378187.8311012
2018-04-10_113637,22.80,25.71,1523378197.831115
2018-04-10_113647,22.80,25.72,1523378207.831129
2018-04-10_113657,22.81,25.71,1523378217.8311431
2018-04-10_113707,22.80,25.63,1523378227.831157
2018-04-10_113717,22.80,25.69,1523378237.831171
2018-04-10_113727,22.80,25.65,1523378247.831185
2018-04-10_113737,22.81,25.62,1523378257.831199
2018-04-10_113747,22.80,25.60,1523378267.831213
2018-04-10_113757,22.80,25.60,1523378277.831227
2018-04-10_113807,22.78,25.60,1523378287.8312411
2018-04-10_113817,22.80,25.60,1523378297.831255
2018-04-10_113827,22.80,25.55,1523378307.831269
2018-04-10_113837,22.80,25.56,1523378317.831283
2018-04-10_113847,22.80,25.56,1523378327.831297
2018-04-10_113857,22.78,25.58,1523378337.831311
2018-04-10_113907,22.81,25.53,1523378347.8313253
2018-04-10_113917,22.80,25.56,1523378357.8313391
2018-04-10_113927,22.78,25.56,1523378367.8313532
2018-04-10_113937,22.80,25.52,1523378377.8313673
2018-04-10_113947,22.80,25.54,1523378387.831381
2018-04-10_113957,22.81,25.53,1523378397.8313951
2018-04-10_114007,22.77,25.49,1523378407.8314092
2018-04-10_114017,22.77,25.49,1523378417.831423
2018-04-10_114027,22.78,25.53,1523378427.831437
2018-04-10_114037,22.77,25.47,1523378437.8314512
2018-04-10_114047,22.78,25.45,1523378447.8314652
2018-04-10_114057,22.77,25.48,1523378457.831479
2018-04-10_114107,22.78,25.50,1523378467.8314931
2018-04-10_114117,22.80,25.40,1523378477.8315072
2018-04-10_114127,22.78,25.39,1523378487.831521
2018-04-10_114137,22.80,25.45,1523378497.831535
2018-04-10_114147,22.78,25.39,1523378507.8315492
2018-04-10_114157,22.80,25.40,1523378517.831563
2018-04-10_114207,22.80,25.43,1523378527.831577
2018-04-10_114217,22.77,25.40,1523378537.8315911
2018-04-10_114227,22.77,25.39,1523378547.831605
2018-04-10_114237,22.76,25.38,1523378557.831619
2018-04-10_114247,22.80,25.43,1523378567.831633
2018-04-10_114257,22.77,25.46,1523378577.831647
2018-04-10_114307,22.77,25.39,1523378587.831661
2018-04-10_114317,22.74,25.38,1523378597.831675
2018-04-10_114327,22.76,25.39,1523378607.8316891
2018-04-10_114337,22.77,25.36,1523378617.831703
2018-04-10_114347,22.77,25.39,1523378627.831717
2018-04-10_114357,22.76,25.38,1523378637.831731
2018-04-10_114407,22.76,25.32,1523378647.831745
2018-04-10_114417,22.77,25.39,1523378657.8317592
2018-04-10_114427,22.76,25.37,1523378667.8317733
2018-04-10_114437,22.77,25.36,1523378677.831787
2018-04-10_114447,22.76,25.35,1523378687.8318012
2018-04-10_114457,22.73,25.37,1523378697.8318152
2018-04-10_114507,22.74,25.36,1523378707.831829
2018-04-10_114517,22.74,25.39,1523378717.8318431
2018-04-10_114527,22.74,25.38,1523378727.8318572
2018-04-10_114537,22.74,25.38,1523378737.831871
2018-04-10_114547,22.73,25.34,1523378747.831885
2018-04-10_114557,22.74,25.36,1523378757.8318992
2018-04-10_114607,22.74,25.33,1523378767.8319132
2018-04-10_114617,22.76,25.35,1523378777.831927
2018-04-10_114627,22.73,25.33,1523378787.8319411
2018-04-10_114637,22.73,25.40,1523378797.8319552
2018-04-10_114647,22.74,25.37,1523378807.831969
2018-04-10_114657,22.73,25.34,1523378817.831983
2018-04-10_114707,22.73,25.36,1523378827.8319972
2018-04-10_114717,22.74,25.38,1523378837.832011
2018-04-10_114727,22.71,25.38,1523378847.832025
2018-04-10_114737,22.74,25.34,1523378857.832039
2018-04-10_114747,22.71,25.33,1523378867.832053
2018-04-10_114757,22.74,25.34,1523378877.832067
2018-04-10_114807,22.71,25.34,1523378887.832081
2018-04-10_114817,22.73,25.34,1523378897.832095
2018-04-10_114827,22.74,25.37,1523378907.832109
2018-04-10_114837,22.70,25.37,1523378917.832123
2018-04-10_114847,22.70,25.37,1523378927.832137
2018-04-10_114857,22.71,25.36,1523378937.832151
2018-04-10_114907,22.71,25.36,1523378947.832165
2018-04-10_114917,22.71,25.37,1523378957.8321793
2018-04-10_114927,22.71,25.45,1523378967.8321931
2018-04-10_114937,22.70,25.36,1523378977.8322072
2018-04-10_114947,22.70,25.41,1523378987.8322213
2018-04-10_114957,22.71,25.42,1523378997.832235
2018-04-10_115007,22.70,25.41,1523379007.8322492
2018-04-10_115017,22.69,25.44,1523379017.8322632
