ST00608,       06/29/2017 15:02:33,   WK-JCHRISTY01,         WK-JCHRISTY01,   207.13569,   74,   50,   inside-inside
ST00608,       06/29/2017 15:02:33,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00608,       06/29/2017 15:02:33,   WK-JCHRISTY01,         WK-JCHRISTY01,   99.8454708,   74,   50,   outside-outside
ST00608,       06/29/2017 15:02:33,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00609,       06/29/2017 15:04:47,   WK-JCHRISTY01,         WK-JCHRISTY01,   197.238486,   74,   50,   inside-inside
ST00609,       06/29/2017 15:04:47,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00609,       06/29/2017 15:04:47,   WK-JCHRISTY01,         WK-JCHRISTY01,   104.909733,   74,   50,   outside-outside
ST00609,       06/29/2017 15:04:47,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00610,       06/29/2017 15:05:22,   WK-JCHRISTY01,         WK-JCHRISTY01,   203.126155,   74,   50,   inside-inside
ST00610,       06/29/2017 15:05:22,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00610,       06/29/2017 15:05:22,   WK-JCHRISTY01,         WK-JCHRISTY01,   107.740761,   74,   50,   outside-outside
ST00610,       06/29/2017 15:05:22,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00611,       06/29/2017 15:06:37,   WK-JCHRISTY01,         WK-JCHRISTY01,   197.591382,   74,   50,   inside-inside
ST00611,       06/29/2017 15:06:37,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00611,       06/29/2017 15:06:37,   WK-JCHRISTY01,         WK-JCHRISTY01,   102.819316,   74,   50,   outside-outside
ST00611,       06/29/2017 15:06:37,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00612,       06/29/2017 15:07:12,   WK-JCHRISTY01,         WK-JCHRISTY01,   203.805232,   74,   50,   inside-inside
ST00612,       06/29/2017 15:07:12,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00612,       06/29/2017 15:07:12,   WK-JCHRISTY01,         WK-JCHRISTY01,   102.96206,   74,   50,   outside-outside
ST00612,       06/29/2017 15:07:12,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

ST00613,       06/29/2017 15:07:48,   WK-JCHRISTY01,         WK-JCHRISTY01,   202.550795,   74,   50,   inside-inside
ST00613,       06/29/2017 15:07:48,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   inside-outside
ST00613,       06/29/2017 15:07:48,   WK-JCHRISTY01,         WK-JCHRISTY01,   101.487677,   74,   50,   outside-outside
ST00613,       06/29/2017 15:07:48,   WK-JCHRISTY01,         WK-JCHRISTY01,   inf,   74,   50,   outside-inside

