date, temp (C), RH (%), epoch time (s)
2018-03-06_110411,24.45,24.66,1520355851.971675
2018-03-06_110421,24.44,24.62,1520355861.971689
2018-03-06_110431,24.45,24.65,1520355871.971703
2018-03-06_110441,24.45,24.65,1520355881.971717
2018-03-06_110451,24.45,24.62,1520355891.971731
2018-03-06_110501,24.45,24.63,1520355901.971745
2018-03-06_110511,24.44,24.62,1520355911.971759
2018-03-06_110521,24.45,24.66,1520355921.971773
2018-03-06_110531,24.44,24.58,1520355931.971787
2018-03-06_110541,24.44,24.66,1520355941.971801
2018-03-06_110551,24.44,24.66,1520355951.971815
2018-03-06_110601,24.45,24.68,1520355961.971829
2018-03-06_110611,24.41,24.63,1520355971.971843
2018-03-06_110621,24.45,24.66,1520355981.971857
2018-03-06_110631,24.44,24.64,1520355991.971871
2018-03-06_110641,24.45,24.66,1520356001.971885
2018-03-06_110651,24.45,24.65,1520356011.971899
2018-03-06_110701,24.42,24.65,1520356021.971913
2018-03-06_110711,24.44,24.66,1520356031.971927
2018-03-06_110721,24.45,24.65,1520356041.971941
2018-03-06_110731,24.44,24.66,1520356051.971955
2018-03-06_110741,24.42,24.69,1520356061.971969
2018-03-06_110751,24.44,24.70,1520356071.971983
2018-03-06_110801,24.45,24.70,1520356081.971997
2018-03-06_110811,24.44,24.69,1520356091.972011
2018-03-06_110821,24.44,24.68,1520356101.972025
2018-03-06_110831,24.42,24.70,1520356111.972039
2018-03-06_110841,24.44,24.72,1520356121.972053
2018-03-06_110851,24.42,24.70,1520356131.972067
2018-03-06_110901,24.42,24.74,1520356141.972081
2018-03-06_110911,24.44,24.74,1520356151.972095
2018-03-06_110921,24.42,24.72,1520356161.972109
2018-03-06_110931,24.44,24.76,1520356171.972123
2018-03-06_110941,24.44,24.77,1520356181.972137
2018-03-06_110951,24.42,24.76,1520356191.972151
2018-03-06_111001,24.44,24.80,1520356201.972165
2018-03-06_111011,24.44,24.74,1520356211.972179
2018-03-06_111021,24.44,24.74,1520356221.972193
2018-03-06_111031,24.44,24.76,1520356231.972207
2018-03-06_111041,24.41,24.80,1520356241.972221
2018-03-06_111051,24.44,24.83,1520356251.972235
2018-03-06_111101,24.44,24.79,1520356261.972249
2018-03-06_111111,24.45,24.80,1520356271.972263
2018-03-06_111121,24.41,24.79,1520356281.972277
2018-03-06_111131,24.45,24.84,1520356291.972291
2018-03-06_111141,24.44,24.84,1520356301.972305
2018-03-06_111151,24.41,24.85,1520356311.972319
2018-03-06_111201,24.42,24.84,1520356321.972333
2018-03-06_111211,24.44,24.89,1520356331.972347
2018-03-06_111221,24.42,24.87,1520356341.972361
2018-03-06_111231,24.44,24.91,1520356351.972375
2018-03-06_111241,24.45,24.87,1520356361.972389
2018-03-06_111251,24.44,24.87,1520356371.972403
2018-03-06_111301,24.45,24.92,1520356381.972417
2018-03-06_111311,24.44,24.91,1520356391.972431
2018-03-06_111321,24.44,24.92,1520356401.972445
2018-03-06_111331,24.44,24.92,1520356411.972459
2018-03-06_111341,24.42,24.96,1520356421.972473
2018-03-06_111351,24.42,24.95,1520356431.972487
2018-03-06_111401,24.41,24.95,1520356441.972501
2018-03-06_111411,24.42,24.98,1520356451.972515
2018-03-06_111421,24.42,24.99,1520356461.972529
2018-03-06_111431,24.44,24.96,1520356471.972543
2018-03-06_111441,24.42,25.02,1520356481.972557
2018-03-06_111451,24.44,25.00,1520356491.972571
2018-03-06_111501,24.45,25.00,1520356501.972585
2018-03-06_111511,24.42,25.07,1520356511.972599
2018-03-06_111521,24.42,25.07,1520356521.972613
2018-03-06_111531,24.41,25.10,1520356531.972627
2018-03-06_111541,24.42,25.07,1520356541.972641
2018-03-06_111551,24.41,25.06,1520356551.972655
2018-03-06_111601,24.42,25.13,1520356561.972669
2018-03-06_111611,24.44,25.09,1520356571.972683
2018-03-06_111621,24.42,25.14,1520356581.972697
2018-03-06_111631,24.44,25.15,1520356591.972711
